"","DeltaT","Price","Continent","Verb"
"1",0.01,10.1656132769801,"Europe","call"
"2",0.011,10.1367237129656,"Europe","call"
"3",0.012,10.1494615253663,"Europe","call"
"4",0.013,10.1278970232626,"Europe","call"
"5",0.014,10.1425050485361,"Europe","call"
"6",0.015,10.1376489261012,"Europe","call"
"7",0.016,10.1471202536078,"Europe","call"
"8",0.017,10.1179052888307,"Europe","call"
"9",0.018,10.1367980464782,"Europe","call"
"10",0.019,10.1285467655323,"Europe","call"
"11",0.02,10.1775923091271,"Europe","call"
"12",0.021,10.1305035499187,"Europe","call"
"13",0.022,10.1311627158601,"Europe","call"
"14",0.023,10.1271080875158,"Europe","call"
"15",0.024,10.126206220429,"Europe","call"
"16",0.025,10.1814096862703,"Europe","call"
"17",0.026,10.1243590550415,"Europe","call"
"18",0.027,10.177884169814,"Europe","call"
"19",0.028,10.1204780156614,"Europe","call"
"20",0.029,10.1164920224795,"Europe","call"
"21",0.03,10.136310905292,"Europe","call"
"22",0.031,10.1464471046593,"Europe","call"
"23",0.032,10.1469306371838,"Europe","call"
"24",0.033,10.1377643199442,"Europe","call"
"25",0.034,10.1189238163553,"Europe","call"
"26",0.035,10.1442134314235,"Europe","call"
"27",0.036,10.1090270376415,"Europe","call"
"28",0.037,10.182626686596,"Europe","call"
"29",0.038,10.1301110577186,"Europe","call"
"30",0.039,10.1336881531148,"Europe","call"
"31",0.04,10.188427470753,"Europe","call"
"32",0.041,10.111782168371,"Europe","call"
"33",0.042,10.1004436151953,"Europe","call"
"34",0.043,10.1364467348902,"Europe","call"
"35",0.044,10.1169057987846,"Europe","call"
"36",0.045,10.1417569785637,"Europe","call"
"37",0.046,10.1140505046292,"Europe","call"
"38",0.047,10.1277474859688,"Europe","call"
"39",0.048,10.0918643719889,"Europe","call"
"40",0.049,10.0943436766236,"Europe","call"
"41",0.05,10.1907669961671,"Europe","call"
"42",0.051,10.1454819138895,"Europe","call"
"43",0.052,10.1334365433674,"Europe","call"
"44",0.053,10.0798769457911,"Europe","call"
"45",0.054,10.1700563476633,"Europe","call"
"46",0.055,10.1434463781204,"Europe","call"
"47",0.056,10.0804319679067,"Europe","call"
"48",0.057,10.1658001051407,"Europe","call"
"49",0.058,10.1244671292485,"Europe","call"
"50",0.059,10.0519007939834,"Europe","call"
"51",0.06,10.1326837692066,"Europe","call"
"52",0.061,10.0763463887633,"Europe","call"
"53",0.062,10.1535965293703,"Europe","call"
"54",0.063,10.0704348735342,"Europe","call"
"55",0.064,10.146257145587,"Europe","call"
"56",0.065,10.0716418240393,"Europe","call"
"57",0.066,10.1440819810886,"Europe","call"
"58",0.067,10.0501708459627,"Europe","call"
"59",0.068,10.1213156339507,"Europe","call"
"60",0.069,10.027947185794,"Europe","call"
"61",0.07,10.0958300040214,"Europe","call"
"62",0.071,10.1632609456813,"Europe","call"
"63",0.072,10.0575901813706,"Europe","call"
"64",0.073,10.1238578806535,"Europe","call"
"65",0.074,10.1897007124961,"Europe","call"
"66",0.075,10.0714353103343,"Europe","call"
"67",0.076,10.1341755507186,"Europe","call"
"68",0.077,10.0164280507767,"Europe","call"
"69",0.078,10.0781153481359,"Europe","call"
"70",0.079,10.139432494006,"Europe","call"
"71",0.08,10.2003861440192,"Europe","call"
"72",0.081,10.0564332962866,"Europe","call"
"73",0.082,10.1144033088978,"Europe","call"
"74",0.083,10.1720437466742,"Europe","call"
"75",0.084,10.0404794411582,"Europe","call"
"76",0.085,10.0971838541517,"Europe","call"
"77",0.086,10.1535758182807,"Europe","call"
"78",0.087,9.98270909185644,"Europe","call"
"79",0.088,10.036201982638,"Europe","call"
"80",0.089,10.0894116613682,"Europe","call"
"81",0.09,10.1423426532856,"Europe","call"
"82",0.091,9.99642189864505,"Europe","call"
"83",0.092,10.0485106408265,"Europe","call"
"84",0.093,10.1003341839593,"Europe","call"
"85",0.094,10.1518965819924,"Europe","call"
"86",0.095,10.2032017824743,"Europe","call"
"87",0.096,9.99599289467504,"Europe","call"
"88",0.097,10.0445157611316,"Europe","call"
"89",0.098,10.0928055214308,"Europe","call"
"90",0.099,10.1408655586056,"Europe","call"
"91",0.1,10.1886991713532,"Europe","call"
"92",0.101,10.0259988687055,"Europe","call"
"93",0.102,10.0730876417441,"Europe","call"
"94",0.103,10.1199599879527,"Europe","call"
"95",0.104,10.1666188946499,"Europe","call"
"96",0.105,10.2130672782755,"Europe","call"
"97",0.106,9.96469536647185,"Europe","call"
"98",0.107,10.0084511156223,"Europe","call"
"99",0.108,10.0520163534469,"Europe","call"
"100",0.109,10.0953935902149,"Europe","call"
"101",0.11,10.1385852793404,"Europe","call"
"102",0.111,10.1815938191811,"Europe","call"
"103",0.112,10.0006253729898,"Europe","call"
"104",0.113,10.0429685500356,"Europe","call"
"105",0.114,10.0851359815609,"Europe","call"
"106",0.115,10.1271298605706,"Europe","call"
"107",0.116,10.168952333,"Europe","call"
"108",0.117,10.2106054991262,"Europe","call"
"109",0.118,9.91271058104774,"Europe","call"
"110",0.119,9.95174630588667,"Europe","call"
"111",0.12,9.99062928087476,"Europe","call"
"112",0.121,10.0293613188227,"Europe","call"
"113",0.122,10.0679441955418,"Europe","call"
"114",0.123,10.106379650899,"Europe","call"
"115",0.124,10.1446693898341,"Europe","call"
"116",0.125,10.1828150833391,"Europe","call"
"117",0.126,9.98073676579795,"Europe","call"
"118",0.127,10.0182885444814,"Europe","call"
"119",0.128,10.0557015609585,"Europe","call"
"120",0.129,10.0929773582057,"Europe","call"
"121",0.13,10.1301174496673,"Europe","call"
"122",0.131,10.1671233200458,"Europe","call"
"123",0.132,10.2039964260657,"Europe","call"
"124",0.133,10.2407381972104,"Europe","call"
"125",0.134,9.87849935877846,"Europe","call"
"126",0.135,9.91269954144981,"Europe","call"
"127",0.136,9.94678179927799,"Europe","call"
"128",0.137,9.98074736783373,"Europe","call"
"129",0.138,10.0145974604077,"Europe","call"
"130",0.139,10.0483332685727,"Europe","call"
"131",0.14,10.0819559627272,"Europe","call"
"132",0.141,10.1154666926222,"Europe","call"
"133",0.142,10.1488665878699,"Europe","call"
"134",0.143,9.92233916812858,"Europe","call"
"135",0.144,9.95520457356309,"Europe","call"
"136",0.145,9.98796282507387,"Europe","call"
"137",0.146,10.0206149754653,"Europe","call"
"138",0.147,10.0531620597311,"Europe","call"
"139",0.148,10.0856050954762,"Europe","call"
"140",0.149,10.1179450833251,"Europe","call"
"141",0.15,10.1501830073191,"Europe","call"
"142",0.151,10.1823198353005,"Europe","call"
"143",0.152,10.2143565192864,"Europe","call"
"144",0.153,10.2462939958306,"Europe","call"
"145",0.154,9.80226353499214,"Europe","call"
"146",0.155,9.83171551098148,"Europe","call"
"147",0.156,9.86107910800787,"Europe","call"
"148",0.157,9.89035513413101,"Europe","call"
"149",0.158,9.91954438469102,"Europe","call"
"150",0.159,9.94864764258807,"Europe","call"
"151",0.16,9.97766567855513,"Europe","call"
"152",0.161,10.0065992514225,"Europe","call"
"153",0.162,10.0354491083752,"Europe","call"
"154",0.163,10.0642159852035,"Europe","call"
"155",0.164,10.0929006065456,"Europe","call"
"156",0.165,10.1215036861248,"Europe","call"
"157",0.166,10.1500259269799,"Europe","call"
"158",0.167,9.89319055628255,"Europe","call"
"159",0.168,9.92123163704028,"Europe","call"
"160",0.169,9.94919427565997,"Europe","call"
"161",0.17,9.97707913386172,"Europe","call"
"162",0.171,10.0048868637486,"Europe","call"
"163",0.172,10.0326181080022,"Europe","call"
"164",0.173,10.0602735000735,"Europe","call"
"165",0.174,10.0878536643685,"Europe","call"
"166",0.175,10.1153592164293,"Europe","call"
"167",0.176,10.1427907631102,"Europe","call"
"168",0.177,10.1701489027496,"Europe","call"
"169",0.178,10.1974342253376,"Europe","call"
"170",0.179,10.224647312679,"Europe","call"
"171",0.18,10.2517887385527,"Europe","call"
"172",0.181,10.2788590688667,"Europe","call"
"173",0.182,9.72115959836959,"Europe","call"
"174",0.183,9.74579600899943,"Europe","call"
"175",0.184,9.77036986177133,"Europe","call"
"176",0.185,9.79488164208996,"Europe","call"
"177",0.186,9.81933182887298,"Europe","call"
"178",0.187,9.84372089467231,"Europe","call"
"179",0.188,9.86804930579274,"Europe","call"
"180",0.189,9.89231752240756,"Europe","call"
"181",0.19,9.91652599867168,"Europe","call"
"182",0.191,9.9406751828316,"Europe","call"
"183",0.192,9.96476551733366,"Europe","call"
"184",0.193,9.98879743892876,"Europe","call"
"185",0.194,10.0127713787753,"Europe","call"
"186",0.195,10.0366877625393,"Europe","call"
"187",0.196,10.0605470104931,"Europe","call"
"188",0.197,10.0843495376105,"Europe","call"
"189",0.198,10.1080957536608,"Europe","call"
"190",0.199,10.1317860632999,"Europe","call"
"191",0.2,10.1554208661602,"Europe","call"
"192",0.201,9.85988380192703,"Europe","call"
"193",0.202,9.88308130100188,"Europe","call"
"194",0.203,9.90622475322232,"Europe","call"
"195",0.204,9.92931453845668,"Europe","call"
"196",0.205,9.95235103197117,"Europe","call"
"197",0.206,9.9753346045079,"Europe","call"
"198",0.207,9.99826562236155,"Europe","call"
"199",0.208,10.0211444474538,"Europe","call"
"200",0.209,10.0439714374072,"Europe","call"
"201",0.21,10.0667469456161,"Europe","call"
"202",0.211,10.0894713213171,"Europe","call"
"203",0.212,10.1121449096576,"Europe","call"
"204",0.213,10.134768051763,"Europe","call"
"205",0.214,10.1573410848024,"Europe","call"
"206",0.215,10.1798643420528,"Europe","call"
"207",0.216,10.2023381529626,"Europe","call"
"208",0.217,10.2247628432126,"Europe","call"
"209",0.218,10.2471387347771,"Europe","call"
"210",0.219,10.2694661459827,"Europe","call"
