"","S0","Price","Continent","Verb"
"1",1,0,"Europe","call"
"2",2,0,"Europe","call"
"3",3,0,"Europe","call"
"4",4,0,"Europe","call"
"5",5,0,"Europe","call"
"6",6,0,"Europe","call"
"7",7,2.53750296893594e-07,"Europe","call"
"8",8,5.14883254670256e-06,"Europe","call"
"9",9,3.86630467929764e-05,"Europe","call"
"10",10,9.91769002718097e-05,"Europe","call"
"11",11,0.00047978801865849,"Europe","call"
"12",12,0.000895248016557315,"Europe","call"
"13",13,0.00294210942902863,"Europe","call"
"14",14,0.00500187393807521,"Europe","call"
"15",15,0.0112481133421976,"Europe","call"
"16",16,0.0191115480010173,"Europe","call"
"17",17,0.0273173970870849,"Europe","call"
"18",18,0.0513976464285768,"Europe","call"
"19",19,0.0754778957700687,"Europe","call"
"20",20,0.0995581451115607,"Europe","call"
"21",21,0.153451931964842,"Europe","call"
"22",22,0.214328172035951,"Europe","call"
"23",23,0.27520441210706,"Europe","call"
"24",24,0.336080652178168,"Europe","call"
"25",25,0.465410929149181,"Europe","call"
"26",26,0.595282534298599,"Europe","call"
"27",27,0.725154139448017,"Europe","call"
"28",28,0.855025744597436,"Europe","call"
"29",29,1.03382189758198,"Europe","call"
"30",30,1.27192604807888,"Europe","call"
"31",31,1.51003019857577,"Europe","call"
"32",32,1.74813434907266,"Europe","call"
"33",33,1.98623849956956,"Europe","call"
"34",34,2.23198201974757,"Europe","call"
"35",35,2.61334111216866,"Europe","call"
"36",36,2.99470020458975,"Europe","call"
"37",37,3.37605929701083,"Europe","call"
"38",38,3.75741838943192,"Europe","call"
"39",39,4.138777481853,"Europe","call"
"40",40,4.52013657427409,"Europe","call"
"41",41,5.00344188567105,"Europe","call"
"42",42,5.54568223303538,"Europe","call"
"43",43,6.08792258039971,"Europe","call"
"44",44,6.63016292776405,"Europe","call"
"45",45,7.17240327512838,"Europe","call"
"46",46,7.71464362249271,"Europe","call"
"47",47,8.25688396985704,"Europe","call"
"48",48,8.79912431722137,"Europe","call"
"49",49,9.49515464208005,"Europe","call"
"50",50,10.1911849669387,"Europe","call"
"51",51,10.8872152917974,"Europe","call"
"52",52,11.5832456166561,"Europe","call"
"53",53,12.2792759415148,"Europe","call"
"54",54,12.9753062663735,"Europe","call"
"55",55,13.6713365912322,"Europe","call"
"56",56,14.3673669160909,"Europe","call"
"57",57,15.0633972409496,"Europe","call"
"58",58,15.8750115381788,"Europe","call"
"59",59,16.6963059014666,"Europe","call"
"60",60,17.5176002647543,"Europe","call"
"61",61,18.338894628042,"Europe","call"
"62",62,19.1601889913297,"Europe","call"
"63",63,19.9814833546175,"Europe","call"
"64",64,20.8027777179052,"Europe","call"
"65",65,21.6240720811929,"Europe","call"
"66",66,22.4453664444806,"Europe","call"
"67",67,23.2666608077684,"Europe","call"
"68",68,24.099144628757,"Europe","call"
"69",69,25.0072853359936,"Europe","call"
"70",70,25.9154260432301,"Europe","call"
"71",71,26.8235667504667,"Europe","call"
"72",72,27.7317074577032,"Europe","call"
"73",73,28.6398481649397,"Europe","call"
"74",74,29.5479888721763,"Europe","call"
"75",75,30.4561295794128,"Europe","call"
"76",76,31.3642702866494,"Europe","call"
"77",77,32.2724109938859,"Europe","call"
"78",78,33.1805517011224,"Europe","call"
"79",79,34.088692408359,"Europe","call"
"80",80,34.9968331155955,"Europe","call"
"81",81,35.9199800241448,"Europe","call"
"82",82,36.8792089503999,"Europe","call"
"83",83,37.8384378766551,"Europe","call"
"84",84,38.7976668029102,"Europe","call"
"85",85,39.7568957291654,"Europe","call"
"86",86,40.7161246554205,"Europe","call"
"87",87,41.6753535816756,"Europe","call"
"88",88,42.6345825079307,"Europe","call"
"89",89,43.5938114341859,"Europe","call"
"90",90,44.553040360441,"Europe","call"
"91",91,45.5122692866961,"Europe","call"
"92",92,46.4714982129513,"Europe","call"
"93",93,47.4307271392064,"Europe","call"
"94",94,48.3899560654616,"Europe","call"
"95",95,49.3491849917166,"Europe","call"
"96",96,50.3092094589007,"Europe","call"
"97",97,51.2937957296994,"Europe","call"
"98",98,52.278382000498,"Europe","call"
"99",99,53.2629682712966,"Europe","call"
"100",100,54.2475545420952,"Europe","call"
"101",1,45.1178930793116,"Europe","put"
"102",2,44.1178930793116,"Europe","put"
"103",3,43.1178930793116,"Europe","put"
"104",4,42.1178930793116,"Europe","put"
"105",5,41.1178930793116,"Europe","put"
"106",6,40.1178930793116,"Europe","put"
"107",7,39.1178933330619,"Europe","put"
"108",8,38.1178982281441,"Europe","put"
"109",9,37.1179317423584,"Europe","put"
"110",10,36.1179922562119,"Europe","put"
"111",11,35.1183728673303,"Europe","put"
"112",12,34.1187883273282,"Europe","put"
"113",13,33.1208351887406,"Europe","put"
"114",14,32.1228949532497,"Europe","put"
"115",15,31.1291411926538,"Europe","put"
"116",16,30.1370046273126,"Europe","put"
"117",17,29.1452104763987,"Europe","put"
"118",18,28.1692907257402,"Europe","put"
"119",19,27.1933709750817,"Europe","put"
"120",20,26.2174512244232,"Europe","put"
"121",21,25.2713450112765,"Europe","put"
"122",22,24.3322212513476,"Europe","put"
"123",23,23.3930974914187,"Europe","put"
"124",24,22.4539737314898,"Europe","put"
"125",25,21.5833040084608,"Europe","put"
"126",26,20.7131756136102,"Europe","put"
"127",27,19.8430472187596,"Europe","put"
"128",28,18.9729188239091,"Europe","put"
"129",29,18.1517149768936,"Europe","put"
"130",30,17.3898191273905,"Europe","put"
"131",31,16.6279232778874,"Europe","put"
"132",32,15.8660274283843,"Europe","put"
"133",33,15.1041315788812,"Europe","put"
"134",34,14.3498750990592,"Europe","put"
"135",35,13.7312341914803,"Europe","put"
"136",36,13.1125932839014,"Europe","put"
