"","Sigma","Price","Continent","Verb"
"1",0.01,3.88210692072555,"Europe","call"
"2",0.02,3.88291947930292,"Europe","call"
"3",0.03,3.90444906749994,"Europe","call"
"4",0.04,3.97652208285131,"Europe","call"
"5",0.05,4.10080578058553,"Europe","call"
"6",0.06,4.25246428763426,"Europe","call"
"7",0.07,4.42221633944962,"Europe","call"
"8",0.08,4.63545872582277,"Europe","call"
"9",0.09,4.86171915450055,"Europe","call"
"10",0.1,5.095688836307,"Europe","call"
"11",0.11,5.33534458523033,"Europe","call"
"12",0.12,5.57929013790958,"Europe","call"
"13",0.13,5.82653154172492,"Europe","call"
"14",0.14,6.0763418319784,"Europe","call"
"15",0.15,6.32817651644656,"Europe","call"
"16",0.16,6.58161907431985,"Europe","call"
"17",0.17,6.83634479825825,"Europe","call"
"18",0.18,7.09209619346119,"Europe","call"
"19",0.19,7.34866585960349,"Europe","call"
"20",0.2,7.6058843377754,"Europe","call"
"21",0.21,7.86361132512181,"Europe","call"
"22",0.22,8.12172921960697,"Europe","call"
"23",0.23,8.3801383063047,"Europe","call"
"24",0.24,8.63875311921066,"Europe","call"
"25",0.25,8.89749965754876,"Europe","call"
"26",0.26,9.15631323178246,"Europe","call"
"27",0.27,9.41513677955739,"Europe","call"
"28",0.28,9.67391953643509,"Europe","call"
"29",0.29,9.9326159773807,"Europe","call"
"30",0.3,10.1911849669387,"Europe","call"
"31",0.31,10.4495890717549,"Europe","call"
"32",0.32,10.707794000486,"Europe","call"
"33",0.33,10.9657681444757,"Europe","call"
"34",0.34,11.2234821987407,"Europe","call"
"35",0.35,11.4809088474184,"Europe","call"
"36",0.36,11.7380225012994,"Europe","call"
"37",0.37,11.9947990777084,"Europe","call"
"38",0.38,12.2512158150207,"Europe","call"
"39",0.39,12.5072511156637,"Europe","call"
"40",0.4,12.7628844126692,"Europe","call"
"41",0.41,13.0180960557936,"Europe","call"
"42",0.42,13.2728672139738,"Europe","call"
"43",0.43,13.5271797914808,"Europe","call"
"44",0.44,13.7810163556098,"Europe","call"
"45",0.45,14.0343600741236,"Europe","call"
"46",0.46,14.287194660975,"Europe","call"
"47",0.47,14.5395043290818,"Europe","call"
"48",0.48,14.7912737491303,"Europe","call"
"49",0.49,15.0424880135511,"Europe","call"
"50",0.5,15.2931326049425,"Europe","call"
"51",0.51,15.5431933683345,"Europe","call"
