"","r","Price","Continent","Verb"
"1",0.001,9.34767860204032,"Europe","call"
"2",0.002,9.39131368538339,"Europe","call"
"3",0.003,9.43503569707824,"Europe","call"
"4",0.004,9.47884420708438,"Europe","call"
"5",0.005,9.52273878317391,"Europe","call"
"6",0.006,9.56671899095003,"Europe","call"
"7",0.007,9.61078439386634,"Europe","call"
"8",0.008,9.65493455324507,"Europe","call"
"9",0.009,9.69916902829703,"Europe","call"
"10",0.01,9.74348737614053,"Europe","call"
"11",0.011,9.78788915182052,"Europe","call"
"12",0.012,9.83237390832843,"Europe","call"
"13",0.013,9.8769411966212,"Europe","call"
"14",0.014,9.92159056564116,"Europe","call"
"15",0.015,9.96632156233571,"Europe","call"
"16",0.016,10.0111337316771,"Europe","call"
"17",0.017,10.0560266166822,"Europe","call"
"18",0.018,10.1009997584325,"Europe","call"
"19",0.019,10.1460526960944,"Europe","call"
"20",0.02,10.1911849669387,"Europe","call"
"21",0.021,10.2363961063619,"Europe","call"
"22",0.022,10.2816856479052,"Europe","call"
"23",0.023,10.3270531232756,"Europe","call"
"24",0.024,10.3724980623665,"Europe","call"
"25",0.025,10.4180199932777,"Europe","call"
"26",0.026,10.4636184423366,"Europe","call"
"27",0.027,10.5092929341181,"Europe","call"
"28",0.028,10.5550429914661,"Europe","call"
"29",0.029,10.6008681355139,"Europe","call"
"30",0.03,10.6467678857052,"Europe","call"
"31",0.031,10.6927417598149,"Europe","call"
"32",0.032,10.7387892739701,"Europe","call"
"33",0.033,10.7849099426721,"Europe","call"
"34",0.034,10.8311032788157,"Europe","call"
"35",0.035,10.8773687937123,"Europe","call"
"36",0.036,10.9237059971098,"Europe","call"
"37",0.037,10.9701143972146,"Europe","call"
"38",0.038,11.016593500713,"Europe","call"
"39",0.039,11.0631428127922,"Europe","call"
"40",0.04,11.1097618371618,"Europe","call"
"41",0.041,11.1564500760764,"Europe","call"
"42",0.042,11.2032070303557,"Europe","call"
"43",0.043,11.2500321994067,"Europe","call"
"44",0.044,11.2969250812457,"Europe","call"
"45",0.045,11.3438851725198,"Europe","call"
"46",0.046,11.3909119685287,"Europe","call"
"47",0.047,11.4380049632464,"Europe","call"
"48",0.048,11.4851636493431,"Europe","call"
"49",0.049,11.5323875182068,"Europe","call"
"50",0.05,11.5796760599662,"Europe","call"
"51",0.051,11.6270287635117,"Europe","call"
"52",0.052,11.6744451165174,"Europe","call"
"53",0.053,11.721924605464,"Europe","call"
"54",0.054,11.7694667156595,"Europe","call"
"55",0.055,11.8170709312632,"Europe","call"
"56",0.056,11.8647367353057,"Europe","call"
"57",0.057,11.9124636097126,"Europe","call"
"58",0.058,11.9602510353259,"Europe","call"
"59",0.059,12.0080984919267,"Europe","call"
"60",0.06,12.0560054582568,"Europe","call"
"61",0.061,12.1039714120415,"Europe","call"
"62",0.062,12.1519958300119,"Europe","call"
"63",0.063,12.200078187926,"Europe","call"
"64",0.064,12.248217960593,"Europe","call"
"65",0.065,12.2964146218937,"Europe","call"
"66",0.066,12.3446676448043,"Europe","call"
"67",0.067,12.3929765014173,"Europe","call"
"68",0.068,12.4413406629654,"Europe","call"
"69",0.069,12.4897595998421,"Europe","call"
"70",0.07,12.5382327816259,"Europe","call"
"71",0.071,12.5867596771014,"Europe","call"
"72",0.072,12.6353397542816,"Europe","call"
"73",0.073,12.683972480431,"Europe","call"
"74",0.074,12.7326573220879,"Europe","call"
"75",0.075,12.781393745086,"Europe","call"
"76",0.076,12.8301812145774,"Europe","call"
"77",0.077,12.8790191950548,"Europe","call"
"78",0.078,12.9279071503738,"Europe","call"
"79",0.079,12.9768445437754,"Europe","call"
"80",0.08,13.0258308379082,"Europe","call"
"81",0.081,13.0748654948503,"Europe","call"
"82",0.082,13.1239479761325,"Europe","call"
"83",0.083,13.17307774276,"Europe","call"
"84",0.084,13.2222542552346,"Europe","call"
"85",0.085,13.2714769735774,"Europe","call"
"86",0.086,13.3207453573509,"Europe","call"
"87",0.087,13.3700588656807,"Europe","call"
"88",0.088,13.4194169572783,"Europe","call"
"89",0.089,13.4688190904634,"Europe","call"
"90",0.09,13.5182647231855,"Europe","call"
"91",0.091,13.5677533130465,"Europe","call"
"92",0.092,13.6172843173221,"Europe","call"
"93",0.093,13.666857192985,"Europe","call"
"94",0.094,13.7164713967261,"Europe","call"
"95",0.095,13.7661263849766,"Europe","call"
"96",0.096,13.8158216139306,"Europe","call"
"97",0.097,13.8655565395657,"Europe","call"
"98",0.098,13.9153306176667,"Europe","call"
"99",0.099,13.9651433038461,"Europe","call"
"100",0.1,14.0149940535668,"Europe","call"
"101",0.101,14.0648823221629,"Europe","call"
"102",0.102,14.1148075648624,"Europe","call"
"103",0.103,14.1647692368087,"Europe","call"
"104",0.104,14.2147667930822,"Europe","call"
"105",0.105,14.2647996887216,"Europe","call"
"106",0.106,14.314867378746,"Europe","call"
"107",0.107,14.3649693181759,"Europe","call"
"108",0.108,14.4151049620554,"Europe","call"
"109",0.109,14.4652737654728,"Europe","call"
"110",0.11,14.5154751835828,"Europe","call"
"111",0.111,14.565708671627,"Europe","call"
"112",0.112,14.6159736849559,"Europe","call"
"113",0.113,14.6662696790497,"Europe","call"
"114",0.114,14.7165961095396,"Europe","call"
"115",0.115,14.7669524322287,"Europe","call"
"116",0.116,14.8173381031137,"Europe","call"
"117",0.117,14.8677525784045,"Europe","call"
"118",0.118,14.9181953145471,"Europe","call"
"119",0.119,14.9686657682424,"Europe","call"
"120",0.12,15.0191633964682,"Europe","call"
"121",0.121,15.0696876565003,"Europe","call"
"122",0.122,15.1202380059317,"Europe","call"
"123",0.123,15.170813902694,"Europe","call"
"124",0.124,15.2214148050789,"Europe","call"
"125",0.125,15.2720401717564,"Europe","call"
"126",0.126,15.3226894617974,"Europe","call"
"127",0.127,15.3733621346923,"Europe","call"
"128",0.128,15.4240576503727,"Europe","call"
"129",0.129,15.47477546923,"Europe","call"
"130",0.13,15.5255150521369,"Europe","call"
"131",0.131,15.5762758604662,"Europe","call"
"132",0.132,15.627057356112,"Europe","call"
"133",0.133,15.6778590015083,"Europe","call"
"134",0.134,15.728680259649,"Europe","call"
"135",0.135,15.7795205941084,"Europe","call"
"136",0.136,15.8303794690599,"Europe","call"
"137",0.137,15.8812563492958,"Europe","call"
"138",0.138,15.9321507002467,"Europe","call"
"139",0.139,15.9830619880008,"Europe","call"
"140",0.14,16.0339896793233,"Europe","call"
"141",0.141,16.0849332416751,"Europe","call"
"142",0.142,16.1358921432327,"Europe","call"
